आक्रमण	ɑː k ɾ ə m ə n
देशी	d̪ eː ʃ iː
हैवानियत	ɦ ɛː ʋ ɑː n iː j ə t̪
गुआम	ɡ ʊ ɑː m
बीजांड	b iː d͡ʒ ɑː n ɖ
बैंगनी	b ɛː ŋ ɡ n iː
बदल	b ə d̪ ə l
निजात	n ɪ d͡ʒ ɑː t̪
आकर्षी	ɑː k ə ɾ ʃ iː
वितर्क	ʋ ɪ t̪ ə ɾ k
नेता	n eː t̪ ɑː
उक्त	ʊ k t̪
सीधा	s iː d̪ ʱ ɑː
निगमन	n ɪ ɡ ə m ə n
हस्तशिल्प	ɦ ə s t̪ ə ʃ ɪ l p
तिरासी	t̪ ɪ ɾ ɑː s iː
सिरा	s ɪ ɾ ɑː
बोटी	b oː ʈ iː
बुड्ढा	b ʊ ɖ ɖ ʱ ɑː
स़िफ़र	s ɪ f ə ɾ
बाह्य	b ɑː ʱ j
बांटना	b ɑː n ʈ n ɑː
जुर्म	d͡ʒ ʊ ɾ m
प्रावधान	p ɾ ɑː ʋ d̪ ʱ ɑː n
सज्जन	s ə d͡ʒ d͡ʒ ə n
संपर्क	s ə m p ə ɾ k
अंतरिक्ष	ə n t̪ ɾ ɪ k ʃ
लालटेन	l ɑː l ʈ eː n
सर्वोदय	s ə ɾ ʋ oː d̪ ə j
गगनचुंबी	ɡ ə ɡ ə n t͡ʃ ʊ m b iː
एजेंट	eː d͡ʒ eː n ʈ
खपत	kʰ ə p ə t̪
गुओमिंदांग	ɡ ʊ oː m ɪ n d̪ ɑː ŋ ɡ
तापक्रम	t̪ ɑː p ə k ɾ ə m
तमिल	t̪ ə m ɪ l
नियुक्त	n iː j ʊ k t̪
लज्जित	l ə d͡ʒ d͡ʒ ɪ t̪
एमएलए	eː m ‿ eː l ‿ eː
गोलमाल	ɡ oː l m ɑː l
काँटा	k ɑ̃ː ʈ ɑː
निर्देशक	n ɪ ɾ d̪ eː ʃ ə k
निर्णायक	n ɪ ɾ n ɑː j ə k
शाश्वत	ʃ ɑː ʃ ʋ ə t̪
अंशकालिक	ə n ʃ k ɑː l ɪ k
शिकायत	ʃ ɪ k ɑː j ə t̪
रोपना	ɾ oː p n ɑː
शौहर	ʃ ɔː ɦ ə ɾ
इच्छा	ɪ t͡ʃ t͡ʃʰ ɑː
नॉर्वे	n ɔː ɾ ʋ eː
जिसका	d͡ʒ ɪ s k ɑː
मन	m ə n
शीर्षासन	ʃ iː ɾ ʃ ɑː s ə n
बढ़ोतरी	b ə ɽ ʱ oː t̪ ə ɾ iː
विश्वप्रसिद्ध	ʋ ɪ ʃ ʋ ə p ɾ ə s ɪ d̪ d̪ ʱ
डोली	ɖ oː l iː
भावुकता	b ʱ ɑː ʋ ʊ k t̪ ɑː
वर्णित	ʋ ə ɾ n ɪ t̪
समाचार	s ə m ɑː t͡ʃ ɑː ɾ
अस्तबल	ə s t̪ ə b ə l
हौवा	ɦ ɔː ʋ ɑː
जुआरी	d͡ʒ ʊ ɑː ɾ iː
शर्माना	ʃ ə ɾ m ɑː n ɑː
उजड्ड	ʊ d͡ʒ ə ɖ ɖ
तो	t̪ oː
कर्तृत्व	k ə ɾ t̪ ɾ ɪ t̪ ʋ
भावनगर	b ʱ ɑː ʋ n ə ɡ ə ɾ
अयोग्यता	ə j oː ɡ j ə t̪ ɑː
तकिया	t̪ ə k iː j ɑː
व्यवस्था	ʋ j ə ʋ ə s t̪ʰ ɑː
कीड़ा	k iː ɽ ɑː
बदलाव	b ə d̪ l ɑː ʋ
विस्मय	ʋ ɪ s m ə j
आत्मविश्वास	ɑː t̪ m ə ʋ ɪ ʃ ʋ ɑː s
पीपल	p iː p ə l
घी	ɡ ʱ iː
बन्दूक	b ə n d̪ uː k
बांझ	b ɑː ɲ d͡ʒ ʱ
हरित	ɦ ə ɾ ɪ t̪
वड़ोदरा	ʋ ə ɽ oː d̪ ɾ ɑː
सिफ़ारत	s ɪ f ɑː ɾ ə t̪
गोल	ɡ oː l
ताजपोशी	t̪ ɑː d͡ʒ p oː ʃ iː
तुम्हें	t̪ ʊ m ɦ ẽ
जननी	d͡ʒ ə n n iː
मुराद	m ʊ ɾ ɑː d̪
कूड़ा	k uː ɽ ɑː
लगता	l ə ɡ t̪ ɑː
दोस्त	d̪ oː s t̪
प्रतिक्रियावादी	p ɾ ə t̪ ɪ k ɾ iː j ɑː ʋ ɑː d̪ iː
घायल	ɡ ʱ ɑː j ə l
महसूस	m ə ʱ s uː s
रासो	ɾ ɑː s oː
बढ़ना	b ə ɽ ʱ n ɑː
हँसली	ɦ ə̃ s l iː
ग्वारपाठा	ɡ ʋ ɑː ɾ p ɑː ʈʰ ɑː
बहुपयोगी	b ə ɦ ʊ p j oː ɡ iː
छाछ	t͡ʃʰ ɑː t͡ʃʰ
खोका	kʰ oː k ɑː
ढाल	ɖ ʱ ɑː l
कैलिफ़ोर्निया	k ɛː l ɪ f oː ɾ n iː j ɑː
सुरंग	s ʊ ɾ ə ŋ ɡ
विश्वविख्यात	ʋ ɪ ʃ ʋ ə ʋ ɪ kʰ j ɑː t̪
इत्मीनान	ɪ t̪ m iː n ɑː n
औरत	ɔː ɾ ə t̪
मजलिस	m ə d͡ʒ l ɪ s
कूड़ेदान	k uː ɽ eː d̪ ɑː n
वंशवाद	ʋ ə n ʃ ʋ ɑː d̪
चपेट	t͡ʃ ə p eː ʈ
धनादेश	d̪ ʱ ə n ɑː d̪ eː ʃ
बम्बई	b ə m b ə iː
उत्तर	ʊ t̪ t̪ ə ɾ
बुंदेलखंड	b ʊ n d̪ eː l kʰ ə n ɖ
गवाह	ɡ ə ʋ ɑː ʱ
मनोवैज्ञानिक	m ə n oː ʋ ɛː ɡ j ɑː n ɪ k
ज़ेवर	z eː ʋ ə ɾ
सांसद	s ɑː n s ə d̪
परिचित	p ə ɾ ɪ t͡ʃ ɪ t̪
सत्तासी	s ə t̪ t̪ ɑː s iː
अमरूद	ə m ɾ uː d̪
यहूदी	j ə ɦ uː d̪ iː
सारंगी	s ɑː ɾ ə ŋ ɡ iː
पटकना	p ə ʈ ə k n ɑː
तलक	t̪ ə l ə k
पहचानकर्ता	p ɛː ʱ t͡ʃ ɑː n k ə ɾ t̪ ɑː
ज़िला	z ɪ l ɑː
घोषक	ɡ ʱ oː ʃ ə k
नमूना	n ə m uː n ɑː
सम्राट	s ə m ɾ ɑː ʈ
भूगोल	b ʱ uː ɡ oː l
बर्दाश्त	b ə ɾ d̪ ɑː ʃ t̪
मालदार	m ɑː l d̪ ɑː ɾ
शहादत	ʃ ə ɦ ɑː d̪ ə t̪
कम	k ə m
रोगी	ɾ oː ɡ iː
यहीं	j ə ɦ ĩː
भड़कना	b ʱ ə ɽ ə k n ɑː
मिश्र	m ɪ ʃ ɾ
नियत	n iː j ə t̪
रीट्वीट	ɾ iː ʈ ʋ iː ʈ
श्मशान	ʃ m ə ʃ ɑː n
साप्ताहिक	s ɑː p t̪ ɑː ɦ ɪ k
मर्दाना	m ə ɾ d̪ ɑː n ɑː
कॅन्सर	k æː n s ə ɾ
मोची	m oː t͡ʃ iː
मांजा	m ɑː ɲ d͡ʒ ɑː
प्रागैतिहासिक	p ɾ ɑː ɡ ɛː t̪ ɪ ɦ ɑː s ɪ k
लाड़काना	l ɑː ɽ k ɑː n ɑː
अनुरोध	ə n ʊ ɾ oː d̪ ʱ
बीड़ा	b iː ɽ ɑː
युद्धकाल	j ʊ d̪ d̪ ʱ k ɑː l
कुम्हड़ा	k ʊ m ɦ ə ɽ ɑː
दाएँ	d̪ ɑː ẽ
पनाहगाह	p ə n ɑː ʱ ɡ ɑː ʱ
शहरी	ʃ ɛː ʱ ɾ iː
बुज़दिल	b ʊ z d̪ ɪ l
प्रत्याशा	p ɾ ə t̪ j ɑː ʃ ɑː
जुलूस	d͡ʒ ʊ l uː s
मार्गदर्शन	m ɑː ɾ ɡ d̪ ə ɾ ʃ ə n
लगे	l ə ɡ eː
अर्जित	ə ɾ d͡ʒ ɪ t̪
बचपन	b ə t͡ʃ p ə n
अक्षरारंभ	ə k ʃ ə ɾ ɑː ɾ ə m b ʱ
लुभाना	l ʊ b ʱ ɑː n ɑː
अर्धांगिनी	ə ɾ d̪ ʱ ɑː ŋ ɡ ɪ n iː
साद	s ɑː d̪
मायका	m ɑː j k ɑː
पैदावार	p ɛː d̪ ɑː ʋ ɑː ɾ
फुदकना	pʰ ʊ d̪ ə k n ɑː
मुदाख़लत	m ʊ d̪ ɑː kʰ ə l ə t̪
शो	ʃ oː
मे	m eː
कुल्हड़	k ʊ l ɦ ə ɽ
अनुसंधान	ə n ʊ s ə n d̪ ʱ ɑː n
अग्निपरीक्षा	ə ɡ n ɪ p ə ɾ iː k ʃ ɑː
हलाल	ɦ ə l ɑː l
काँच	k ɑ̃ː t͡ʃ
आकलन	ɑː k ə l ə n
श्रेष्ठ	ʃ ɾ eː ʃ ʈʰ
विपन्नता	ʋ ɪ p ə n n t̪ ɑː
कपोत	k ə p oː t̪
मण्डुक	m ə n ɖ ʊ k
समसामयिक	s ə m s ɑː m j ɪ k
धमाका	d̪ ʱ ə m ɑː k ɑː
असहमति	ə s ɛː ʱ m ə t̪ iː
सामग्री	s ɑː m ə ɡ ɾ iː
यात्री	j ɑː t̪ ɾ iː
शहज़ादा	ʃ ɛː ʱ z ɑː d̪ ɑː
कोशकला	k oː ʃ k ə l ɑː
आबदस्त	ɑː b d̪ ə s t̪
सन्नाटा	s ə n n ɑː ʈ ɑː
लिथुआनिया	l i t̪ʰ u aː n i j aː
फ़र्श	f ə ɾ ʃ
रिपोर्ट	ɾ ɪ p oː ɾ ʈ
शब्दाडंबर	ʃ ə b d̪ ɑː ɖ ə m b ə ɾ
तालिब	t̪ ɑː l ɪ b
बुद्धिजीवी	b ʊ d̪ d̪ ʱ ɪ d͡ʒ iː ʋ iː
थप्पड़	t̪ʰ ə p p ə ɽ
कुदाल	k ʊ d̪ ɑː l
जहन्नुम	d͡ʒ ɛː ʱ n n ʊ m
वन	ʋ ə n
प्रतिनिधित्व	p ɾ ə t̪ ɪ n ɪ d̪ ʱ ɪ t̪ ʋ
जैगुआर	d͡ʒ ɛː ɡ ʊ ɑː ɾ
जमशेदपुर	d͡ʒ ə m ʃ eː d̪ p ʊ ɾ
जलना	d͡ʒ ə l n ɑː
झुकना	d͡ʒ ʱ ʊ k n ɑː
उपपत्ति	ʊ p p ə t̪ t̪ iː
आरक्षण	ɑː ɾ ə k ʃ ə n
सन्देह	s ə n d̪ eː ʱ
रिक्शावाला	ɾ ɪ k ʃ ɑː ʋ ɑː l ɑː
सहरा	s ɛː ʱ ɾ ɑː
मुहाफ़ज़ाह	m ʊ ɦ ɑː f z ɑː ʱ
देहाती	d̪ eː ɦ ɑː t̪ iː
दंश	d̪ ə n ʃ
अनुनय	ə n ʊ n ə j
अनुगृहीत	ə n ʊ ɡ ɾ ɪ ɦ iː t̪
चोटी	t͡ʃ oː ʈ iː
मेयर	m eː j ə ɾ
आशय	ɑː ʃ ə j
भोला	b ʱ oː l ɑː
मनोनीत	m ə n oː n iː t̪
अपरिमेय	ə p ə ɾ ɪ m eː j
तानना	t̪ ɑː n n ɑː
सींग	s iː ŋ ɡ
परिवारवाद	p ə ɾ ɪ ʋ ɑː ɾ ʋ ɑː d̪
सत्ताईस	s ə t̪ t̪ ɑː iː s
दरवेश	d̪ ə ɾ ʋ eː ʃ
दिन	d̪ ɪ n
ब्रुनेई	b ɾ ʊ n eː iː
एक	eː k
बाल	b ɑː l
सुपुर्द	s ʊ p ʊ ɾ d̪
ग्वाटेमाला	ɡ ʋ ɑː ʈ eː m ɑː l ɑː
वर्गहीन	ʋ ə ɾ ɡ ɦ iː n
नवनी	n ə ʋ n iː
पेरू	p eː ɾ uː
फ़र्ज़ी	f ə ɾ z iː
निरीक्षक	n ɪ ɾ iː k ʃ ə k
लहरा	l ɛː ʱ ɾ ɑː
नर्तक	n ə ɾ t̪ ə k
मैला	m ɛː l ɑː
निज	n ɪ d͡ʒ
सक्रिय	s ə k ɾ ɪ j
तुरन्त	t̪ ʊ ɾ ə n t̪
जाँचना	d͡ʒ ɑ̃ː t͡ʃ n ɑː
कश्ती	k ə ʃ t̪ iː
समतल	s ə m t̪ ə l
जाहिल	d͡ʒ ɑː ɦ ɪ l
गुड़	ɡ ʊ ɽ
मां	m ɑ̃ː
पुष्कलावती	p ʊ ʃ k ə l ɑː ʋ ə t̪ iː
आपस	ɑː p ə s
नूर	n uː ɾ
ठहाका	ʈʰ ə ɦ ɑː k ɑː
अबाबील	ə b ɑː b iː l
सियाप्पा	s iː j ɑː p p ɑː
भाग	b ʱ ɑː ɡ
सैन्य	s ɛː n j
ब्राज़िल	b ɾ ɑː z ɪ l
निर्देशांक	n ɪ ɾ d̪ eː ʃ ɑː ŋ k
पुरस्कार	p ʊ ɾ ə s k ɑː ɾ
मग्न	m ə ɡ n
अवहट्ठ	ə ʋ ɦ ə ʈ ʈʰ
बीच	b iː t͡ʃ
उसका	ʊ s k ɑː
हिंदुत्व	ɦ ɪ n d̪ ʊ t̪ ʋ
स्खलन	s kʰ ə l ə n̪
अंकुर	ə ŋ k ʊ ɾ
नदारद	n ə d̪ ɑː ɾ ə d̪
हवालात	ɦ ə ʋ ɑː l ɑː t̪
अरथी	ə ɾ t̪ʰ iː
मना	m ə n ɑː
हरा	ɦ ə ɾ ɑː
गिनतारा	ɡ ɪ n t̪ ɑː ɾ ɑː
स्मृति	s m ɾ ɪ t̪ iː
उद्योगी	ʊ d̪ j oː ɡ iː
लतीफ़ा	l ə t̪ iː f ɑː
बासठ	b ɑː s ə ʈʰ
उपस्थिति	ʊ p ə s t̪ʰ ɪ t̪ iː
ईमानदार	iː m ɑː n d̪ ɑː ɾ
अलमारी	ə l m ɑː ɾ iː
अदालती	ə d̪ ɑː l ə t̪ iː
शुभेच्छु	ʃ ʊ b ʱ eː t͡ʃ t͡ʃʰ uː
अमोघ	ə m oː ɡ ʱ
विशेषता	ʋ ɪ ʃ eː ʃ t̪ ɑː
पृथ्वी	p ɾ ɪ t̪ʰ ʋ iː
खुर	kʰ ʊ ɾ
जनमतसंग्रह	d͡ʒ ə n m ə t̪ s ə ŋ ɡ ɾ ə ʱ
भक्तपुर	b ʱ ə k t̪ ə p ʊ ɾ
विशेषज्ञ	ʋ ɪ ʃ eː ʃ ə ɡ j
खुदरा	kʰ ʊ d̪ ɾ ɑː
खोया	kʰ oː j ɑː
सम्राज्ञी	s ə m ɾ ɑː ɡ j iː
मध्ययुग	m ə d̪ ʱ j ə j ʊ ɡ
असंगत	ə s ə ŋ ɡ ə t̪
बहुपद	b ə ɦ ʊ p ə d̪
रियासत	ɾ iː j ɑː s ə t̪
चरना	t͡ʃ ə ɾ n ɑː
स्वार्थी	s ʋ ɑː ɾ t̪ʰ iː
जुदाई	d͡ʒ ʊ d̪ ɑː iː
यार	j ɑː ɾ
गिरा	ɡ ɪ ɾ ɑː
सुख	s ʊ kʰ
इतालवी	ɪ t̪ ɑː l ʋ iː
अमीरी	ə m iː ɾ iː
सोनार	s oː n ɑː ɾ
तोती	t̪ oː t̪ iː
भेदभाव	b ʱ eː d̪ b ʱ ɑː ʋ
हैदर	ɦ ɛː d̪ ə ɾ
चांसलर	t͡ʃ ɑː n s l ə ɾ
चाहना	t͡ʃ ɑː ʱ n ɑː
संदल	s ə n d̪ ə l
गे	ɡ eː
शताब्दी	ʃ ə t̪ ɑː b d̪ iː
हवा	ɦ ə ʋ ɑː
जमीयत	d͡ʒ ə m iː j ə t̪
मुकुट	m ʊ k ʊ ʈ
तजुर्बा	t̪ ə d͡ʒ ʊ ɾ b ɑː
जमाव	d͡ʒ ə m ɑː ʋ
कुप्पी	k ʊ p p iː
वा	ʋ ɑː
धर्मशास्त्र	d̪ ʱ ə ɾ m ə ʃ ɑː s t̪ ɾ
बॉलीवुड	b ɔː l iː ʋ ʊ ɖ
सराफ़ा	s ə ɾ ɑː f ɑː
अछना	ə t͡ʃʰ n ɑː
निकास	n ɪ k ɑː s
व्यंजक	ʋ j ə ɲ d͡ʒ ə k
उत्तराखंड	ʊ t̪ t̪ ə ɾ ɑː kʰ ə n ɖ
उत्तोलक	ʊ t̪ t̪ oː l ə k
मालिन	m ɑː l ɪ n
विसर्जन	ʋ ɪ s ə ɾ d͡ʒ ə n
झारखण्ड	d͡ʒ ʱ ɑː ɾ kʰ ə n ɖ
कैसा	k ɛː s ɑː
बीघा	b iː ɡ ʱ ɑː
रेडॉन	ɾ eː ɖ ɔː n
पिता	p ɪ t̪ ɑː
प्रताप	p ɾ ə t̪ ɑː p
स्वेच्छा	s ʋ eː t͡ʃ t͡ʃʰ ɑː
एहसान	eː ʱ s ɑː n
अम्लीय	ə m l iː j
लुटेरा	l ʊ ʈ eː ɾ ɑː
फ़रमाइश	f ə ɾ m ɑː ɪ ʃ
अशक्त	ə ʃ ə k t̪
मुहाजिर	m ʊ ɦ ɑː d͡ʒ ɪ ɾ
पर्थ	p ə ɾ t̪ʰ
आशियाना	ɑː ʃ iː j ɑː n ɑː
पटाखा	p ə ʈ ɑː kʰ ɑː
आंतरिक	ɑː n t̪ ɾ ɪ k
छावनी	t͡ʃʰ ɑː ʋ n iː
मीचना	m iː t͡ʃ n ɑː
तहलका	t̪ ɛː ʱ l k ɑː
की	k iː
जहन्नम	d͡ʒ ɛː ʱ n n ə m
भ्रमण	b ʱ ɾ ə m ə n
साउथहैंपटन	s ɑː ʊ t̪ʰ ɦ ɛː m p ʈ ə n
श्रीकाकुलम	ʃ ɾ iː k ɑː k ʊ l ə m
पीरू	p iː ɾ uː
चंद	t͡ʃ ə n d̪
सर्प	s ə ɾ p
